Time,Latitude,Longitude
18:04.4,39.01875112,-104.8936564
18:04.9,39.01874785,-104.8936529
18:05.3,39.01874472,-104.8936495
18:05.8,39.01874387,-104.89365
18:06.2,39.01874147,-104.8936486
18:06.8,39.0187281,-104.8936384
18:07.4,39.01872003,-104.8936327
18:07.9,39.01870562,-104.8936246
18:08.3,39.01869562,-104.8936201
18:08.9,39.01868722,-104.8936039
18:09.3,39.01867892,-104.8935973
18:09.6,39.01866647,-104.8935768
18:10.2,39.0186509,-104.893562
18:10.7,39.01863436,-104.893535
18:11.1,39.01861823,-104.8935159
18:11.6,39.01861372,-104.8934852
18:12.1,39.01860072,-104.8934571
18:12.5,39.01859641,-104.8934336
18:12.9,39.01858551,-104.8934071
18:13.3,39.01857498,-104.8933815
18:13.7,39.01855798,-104.8933536
18:14.2,39.01854033,-104.8933215
18:14.7,39.01852911,-104.8932853
18:15.1,39.01851772,-104.8932523
18:15.5,39.01852187,-104.8932309
18:16.0,39.01852083,-104.8931979
18:16.3,39.0185201,-104.8931746
18:16.7,39.01852409,-104.8931636
18:17.2,39.01852595,-104.8931374
18:17.5,39.01852109,-104.8931243
18:18.1,39.01852085,-104.8930911
18:18.4,39.01852069,-104.8930698
18:18.8,39.01850769,-104.8930465
18:19.4,39.01849832,-104.8930049
18:19.8,39.01847801,-104.8929629
18:20.3,39.01846575,-104.8929299
18:20.7,39.01846376,-104.8929
18:21.1,39.01845509,-104.8928699
18:21.6,39.01844623,-104.8928484
18:22.1,39.018438,-104.8928275
18:22.5,39.01843119,-104.8928102
18:22.9,39.01842593,-104.8928154
18:23.3,39.01842263,-104.8928082
18:23.7,39.01841361,-104.8928066
18:24.2,39.01841071,-104.8928013
18:24.7,39.01840419,-104.8928002
18:25.2,39.01840258,-104.8927965
18:25.6,39.01840117,-104.8927932
18:26.0,39.01839984,-104.8927959
18:26.3,39.01839977,-104.8927946
18:26.7,39.01840204,-104.892801
18:27.2,39.01840346,-104.8928022
18:27.7,39.01840492,-104.8928046
18:28.2,39.01840548,-104.8928046
18:28.5,39.01840589,-104.8928046
18:29.0,39.01840706,-104.8928035
18:29.4,39.01840645,-104.8928029
18:29.9,39.01840708,-104.8928016
18:30.4,39.01840531,-104.8928013
18:30.9,39.01840613,-104.8927997
18:31.5,39.01840395,-104.8927999
18:32.0,39.01840528,-104.8927984
18:32.5,39.01840352,-104.8927991
18:33.0,39.01840568,-104.8927955
18:33.4,39.01840513,-104.8927944
18:33.8,39.01840571,-104.8927922
18:34.3,39.01840521,-104.8927918
18:35.3,39.01840676,-104.8927907
18:35.8,39.01840687,-104.8927901
18:36.3,39.01840627,-104.8927905
18:36.8,39.01840596,-104.8927899
18:37.2,39.01840545,-104.8927904
18:37.7,39.01840495,-104.8927909
18:38.2,39.01840564,-104.8927917
18:38.7,39.01840568,-104.8927925
