Time,Latitude,Longitude,Altitude,Relative Altitude,Heading
BREAK,2025-04-17 10:51:25.553718,,,,
1744909373.6724741,39.0187204,-104.8935586,2157.63,1.058,178.04,DiscoStates.ALTITUDE_CONTROL
1744909373.6931343,39.0187204,-104.8935587,2157.55,0.97,178.05,DiscoStates.ALTITUDE_CONTROL
1744909373.7542834,39.0187204,-104.8935587,2157.55,0.97,178.05,DiscoStates.ALTITUDE_CONTROL
1744909373.795192,39.0187204,-104.8935587,2157.55,0.97,178.05,DiscoStates.ALTITUDE_CONTROL
1744909373.8158326,39.0187204,-104.8935587,2157.48,0.902,178.05,DiscoStates.ALTITUDE_CONTROL
1744909373.8570132,39.0187204,-104.8935587,2157.46,0.882,178.07,DiscoStates.ALTITUDE_CONTROL
1744909373.8777556,39.0187204,-104.8935587,2157.46,0.882,178.07,DiscoStates.ALTITUDE_CONTROL
1744909373.9187803,39.0187204,-104.8935587,2157.46,0.882,178.07,DiscoStates.ALTITUDE_CONTROL
1744909373.939393,39.0187204,-104.8935587,2157.47,0.899,178.08,DiscoStates.ALTITUDE_CONTROL
1744909374.0005841,39.0187204,-104.8935587,2157.47,0.899,178.08,DiscoStates.ALTITUDE_CONTROL
1744909374.0211678,39.0187204,-104.8935588,2157.46,0.888,178.08,DiscoStates.ALTITUDE_CONTROL
1744909374.0419297,39.0187204,-104.8935588,2157.46,0.888,178.08,DiscoStates.ALTITUDE_CONTROL
1744909374.1033914,39.0187203,-104.8935589,2157.45,0.876,178.07,DiscoStates.ALTITUDE_CONTROL
1744909374.1240864,39.0187203,-104.8935589,2157.45,0.876,178.07,DiscoStates.ALTITUDE_CONTROL
1744909374.1447735,39.0187201,-104.8935589,2157.45,0.873,178.07,DiscoStates.ALTITUDE_CONTROL
1744909374.1652827,39.0187201,-104.8935589,2157.45,0.873,178.07,DiscoStates.ALTITUDE_CONTROL
1744909374.250412,39.0187201,-104.8935589,2157.45,0.873,178.07,DiscoStates.ALTITUDE_CONTROL
1744909374.271232,39.0187199,-104.8935591,2157.4,0.829,178.08,DiscoStates.ALTITUDE_CONTROL
1744909374.292141,39.0187199,-104.8935591,2157.4,0.829,178.08,DiscoStates.ALTITUDE_CONTROL
1744909374.3130097,39.0187199,-104.8935592,2157.41,0.835,178.07,DiscoStates.ALTITUDE_CONTROL
1744909374.375895,39.0187199,-104.8935592,2157.41,0.835,178.07,DiscoStates.ALTITUDE_CONTROL
1744909374.396765,39.0187198,-104.8935593,2157.43,0.85,178.07,DiscoStates.ALTITUDE_CONTROL
1744909374.417306,39.0187198,-104.8935593,2157.43,0.85,178.07,DiscoStates.ALTITUDE_CONTROL
1744909374.4786649,39.0187198,-104.8935593,2157.42,0.846,178.05,DiscoStates.ALTITUDE_CONTROL
1744909374.4992383,39.0187198,-104.8935593,2157.42,0.846,178.05,DiscoStates.ALTITUDE_CONTROL
1744909374.5402396,39.0187198,-104.8935593,2157.42,0.846,178.05,DiscoStates.ALTITUDE_CONTROL
1744909374.5610137,39.0187198,-104.8935593,2157.4,0.829,178.05,DiscoStates.ALTITUDE_CONTROL
1744909374.6021183,39.0187197,-104.8935593,2157.42,0.844,178.04,DiscoStates.ALTITUDE_CONTROL
1744909374.6227498,39.0187197,-104.8935593,2157.42,0.844,178.04,DiscoStates.ALTITUDE_CONTROL
1744909374.6637473,39.0187197,-104.8935593,2157.42,0.844,178.04,DiscoStates.ALTITUDE_CONTROL
1744909374.7262356,39.0187198,-104.8935593,2157.41,0.832,178.04,DiscoStates.ALTITUDE_CONTROL
1744909374.746915,39.0187198,-104.8935593,2157.41,0.832,178.04,DiscoStates.ALTITUDE_CONTROL
1744909374.7678628,39.0187198,-104.8935593,2157.39,0.814,178.04,DiscoStates.ALTITUDE_CONTROL
1744909374.7891476,39.0187198,-104.8935593,2157.39,0.814,178.04,DiscoStates.ALTITUDE_CONTROL
1744909374.852354,39.0187197,-104.8935594,2157.39,0.811,178.04,DiscoStates.ALTITUDE_CONTROL
1744909374.8740764,39.0187197,-104.8935594,2157.39,0.811,178.04,DiscoStates.ALTITUDE_CONTROL
1744909374.91535,39.0187197,-104.8935594,2157.39,0.811,178.04,DiscoStates.ALTITUDE_CONTROL
1744909374.9361613,39.0187197,-104.8935594,2157.38,0.805,178.03,DiscoStates.ALTITUDE_CONTROL
1744909374.9981592,39.0187197,-104.8935594,2157.38,0.805,178.03,DiscoStates.ALTITUDE_CONTROL
1744909375.0191264,39.0187197,-104.8935595,2157.41,0.835,178.04,DiscoStates.ALTITUDE_CONTROL
1744909375.0404406,39.0187197,-104.8935595,2157.41,0.835,178.04,DiscoStates.ALTITUDE_CONTROL
