Time,Latitude,Longitude,Altitude,Relative Altitude,Heading,State
BREAK,2025-04-29 10:40:33.181699,,,,,
1745944926.3499634,39.0187816,-104.8939695,2171.09,11.011,179.67,DiscoStates.COORD_CONTROL
1745944927.370851,39.0187816,-104.8939695,2171.09,11.011,179.67,DiscoStates.COORD_CONTROL
1745944928.3918827,39.0187816,-104.8939695,2171.08,11.009,179.67,DiscoStates.COORD_CONTROL
1745944929.4129732,39.0187816,-104.8939695,2171.08,11.009,179.67,DiscoStates.COORD_CONTROL
1745944930.474657,39.0187816,-104.8939695,2171.08,11.008,179.67,DiscoStates.COORD_CONTROL
1745944931.4954355,39.0187816,-104.8939695,2171.08,11.008,179.67,DiscoStates.COORD_CONTROL
1745944932.5367737,39.0187816,-104.8939695,2171.08,11.008,179.67,DiscoStates.COORD_CONTROL
1745944933.5577586,39.0187816,-104.8939695,2171.09,11.01,179.67,DiscoStates.COORD_CONTROL
1745944934.61942,39.0187816,-104.8939695,2171.09,11.01,179.67,DiscoStates.COORD_CONTROL
1745944935.6403174,39.0187816,-104.8939695,2171.09,11.011,179.67,DiscoStates.COORD_CONTROL
1745944936.6612785,39.0187816,-104.8939695,2171.09,11.011,179.67,DiscoStates.COORD_CONTROL
1745944937.6821597,39.0187816,-104.8939695,2171.09,11.011,179.67,DiscoStates.COORD_CONTROL
1745944938.747155,39.0187816,-104.8939695,2171.09,11.011,179.67,DiscoStates.COORD_CONTROL
1745944939.7890728,39.0187816,-104.8939695,2171.09,11.011,179.67,DiscoStates.COORD_CONTROL
1745944940.8099813,39.0187816,-104.8939695,2171.08,11.009,179.67,DiscoStates.COORD_CONTROL
1745944941.878494,39.0187816,-104.8939695,2171.08,11.008,179.67,DiscoStates.COORD_CONTROL
1745944942.8997502,39.0187816,-104.8939695,2171.08,11.008,179.67,DiscoStates.COORD_CONTROL
1745944943.94093,39.0187816,-104.8939695,2171.08,11.008,179.67,DiscoStates.COORD_CONTROL
1745944944.961793,39.0187816,-104.8939695,2171.08,11.009,179.67,DiscoStates.COORD_CONTROL
1745944946.0235171,39.0187816,-104.8939695,2171.08,11.009,179.67,DiscoStates.COORD_CONTROL
1745944947.044381,39.0187816,-104.8939695,2171.09,11.01,179.67,DiscoStates.COORD_CONTROL
1745944948.0652375,39.0187816,-104.8939695,2171.09,11.01,179.67,DiscoStates.COORD_CONTROL
1745944949.1270423,39.0187816,-104.8939695,2171.09,11.011,179.67,DiscoStates.COORD_CONTROL
1745944950.1480107,39.0187816,-104.8939695,2171.09,11.011,179.67,DiscoStates.COORD_CONTROL
1745944951.168949,39.0187816,-104.8939695,2171.09,11.009,179.67,DiscoStates.COORD_CONTROL
1745944952.1900165,39.0187816,-104.8939695,2171.09,11.009,179.67,DiscoStates.COORD_CONTROL
1745944953.2721653,39.0187816,-104.8939695,2171.09,11.009,179.67,DiscoStates.COORD_CONTROL
1745944954.2930145,39.0187816,-104.8939695,2171.08,11.008,179.67,DiscoStates.COORD_CONTROL
1745944955.3140373,39.0187816,-104.8939695,2171.08,11.008,179.67,DiscoStates.COORD_CONTROL
1745944956.3348837,39.0187816,-104.8939695,2171.08,11.009,179.67,DiscoStates.COORD_CONTROL
1745944957.3964694,39.0187816,-104.8939695,2171.08,11.009,179.67,DiscoStates.COORD_CONTROL
1745944958.4174526,39.0187816,-104.8939695,2171.09,11.01,179.67,DiscoStates.COORD_CONTROL
1745944959.4384205,39.0187816,-104.8939695,2171.09,11.01,179.67,DiscoStates.COORD_CONTROL
1745944960.5003893,39.0187816,-104.8939695,2171.09,11.011,179.67,DiscoStates.COORD_CONTROL
1745944961.5214667,39.0187816,-104.8939695,2171.09,11.011,179.67,DiscoStates.COORD_CONTROL
1745944962.5625932,39.0187816,-104.8939695,2171.09,11.011,179.67,DiscoStates.COORD_CONTROL
1745944963.583407,39.0187817,-104.8939695,2171.09,11.011,179.67,DiscoStates.COORD_CONTROL
1745944964.6248598,39.0187817,-104.8939695,2171.08,11.009,179.67,DiscoStates.COORD_CONTROL
1745944965.6458812,39.0187817,-104.8939695,2171.08,11.009,179.67,DiscoStates.COORD_CONTROL
1745944966.6872883,39.0187817,-104.8939695,2171.08,11.009,179.67,DiscoStates.COORD_CONTROL
1745944967.7490466,39.0187817,-104.8939695,2171.08,11.008,179.67,DiscoStates.COORD_CONTROL
1745944968.7700343,39.0187817,-104.8939695,2171.08,11.008,179.67,DiscoStates.COORD_CONTROL
1745944969.7909358,39.0187817,-104.8939695,2171.08,11.009,179.67,DiscoStates.COORD_CONTROL
1745944970.8118734,39.0187817,-104.8939695,2171.08,11.009,179.67,DiscoStates.COORD_CONTROL
1745944971.873539,39.0187817,-104.8939695,2171.09,11.01,179.67,DiscoStates.COORD_CONTROL
1745944972.894488,39.0187817,-104.8939695,2171.09,11.01,179.67,DiscoStates.COORD_CONTROL
1745944973.9560406,39.0187817,-104.8939695,2171.09,11.011,179.67,DiscoStates.COORD_CONTROL
1745944974.9770465,39.0187817,-104.8939695,2171.09,11.011,179.67,DiscoStates.COORD_CONTROL
1745944976.0184674,39.0187817,-104.8939695,2171.09,11.011,179.67,DiscoStates.COORD_CONTROL
1745944977.0393524,39.0187817,-104.8939695,2171.09,11.01,179.67,DiscoStates.COORD_CONTROL
1745944978.0805173,39.0187817,-104.8939695,2171.08,11.008,179.67,DiscoStates.COORD_CONTROL
1745944979.101439,39.0187817,-104.8939695,2171.08,11.008,179.67,DiscoStates.COORD_CONTROL
1745944980.1427593,39.0187817,-104.8939695,2171.08,11.008,179.67,DiscoStates.COORD_CONTROL
1745944981.2069764,39.0187817,-104.8939695,2171.08,11.009,179.67,DiscoStates.COORD_CONTROL
1745944982.227811,39.0187817,-104.8939695,2171.08,11.009,179.67,DiscoStates.COORD_CONTROL
1745944983.24869,39.0187817,-104.8939695,2171.09,11.01,179.67,DiscoStates.COORD_CONTROL
1745944984.2698004,39.0187817,-104.8939695,2171.09,11.01,179.67,DiscoStates.COORD_CONTROL
1745944985.3319204,39.0187817,-104.8939695,2171.09,11.011,179.67,DiscoStates.COORD_CONTROL
1745944986.3528056,39.0187817,-104.8939695,2171.09,11.011,179.67,DiscoStates.COORD_CONTROL
1745944987.3941872,39.0187817,-104.8939695,2171.09,11.011,179.67,DiscoStates.COORD_CONTROL
1745944988.4151258,39.0187817,-104.8939695,2171.08,11.009,179.67,DiscoStates.COORD_CONTROL
1745944989.477019,39.0187817,-104.8939695,2171.08,11.009,179.67,DiscoStates.COORD_CONTROL
1745944990.4979148,39.0187817,-104.8939695,2171.08,11.008,179.67,DiscoStates.COORD_CONTROL
1745944991.5189593,39.0187817,-104.8939695,2171.08,11.008,179.67,DiscoStates.COORD_CONTROL
1745944992.5399895,39.0187817,-104.8939695,2171.08,11.009,179.67,DiscoStates.COORD_CONTROL
1745944993.6017065,39.0187817,-104.8939695,2171.08,11.009,179.67,DiscoStates.COORD_CONTROL
1745944994.6432834,39.0187817,-104.8939695,2171.08,11.009,179.67,DiscoStates.COORD_CONTROL
1745944995.6641905,39.0187817,-104.8939695,2171.09,11.01,179.67,DiscoStates.COORD_CONTROL
1745944996.7054896,39.0187817,-104.8939695,2171.09,11.011,179.67,DiscoStates.COORD_CONTROL
1745944997.7264102,39.0187817,-104.8939695,2171.09,11.011,179.67,DiscoStates.COORD_CONTROL
1745944998.7676995,39.0187817,-104.8939695,2171.09,11.011,179.67,DiscoStates.COORD_CONTROL
1745944999.7888007,39.0187817,-104.8939695,2171.09,11.01,179.67,DiscoStates.COORD_CONTROL
1745945000.8505826,39.0187817,-104.8939695,2171.09,11.01,179.67,DiscoStates.COORD_CONTROL
1745945001.8715267,39.0187817,-104.8939695,2171.08,11.008,179.67,DiscoStates.COORD_CONTROL
1745945002.892562,39.0187817,-104.8939695,2171.08,11.008,179.67,DiscoStates.COORD_CONTROL
1745945003.9544466,39.0187817,-104.8939695,2171.08,11.009,179.67,DiscoStates.COORD_CONTROL
1745945004.97515,39.0187817,-104.8939695,2171.08,11.009,179.67,DiscoStates.COORD_CONTROL
1745945005.9959648,39.0187817,-104.8939695,2171.09,11.01,179.66,DiscoStates.COORD_CONTROL
1745945007.0169148,39.0187817,-104.8939695,2171.09,11.01,179.66,DiscoStates.COORD_CONTROL
1745945008.0993323,39.0187817,-104.8939695,2171.09,11.01,179.66,DiscoStates.COORD_CONTROL
1745945009.120179,39.0187817,-104.8939695,2171.09,11.011,179.67,DiscoStates.COORD_CONTROL
1745945010.1410015,39.0187817,-104.8939695,2171.09,11.011,179.67,DiscoStates.COORD_CONTROL
1745945011.1619182,39.0187817,-104.8939695,2171.09,11.009,179.67,DiscoStates.COORD_CONTROL
1745945012.2235734,39.0187817,-104.8939695,2171.09,11.009,179.67,DiscoStates.COORD_CONTROL
1745945013.244354,39.0187817,-104.8939695,2171.08,11.008,179.67,DiscoStates.COORD_CONTROL
1745945014.265357,39.0187817,-104.8939695,2171.08,11.008,179.67,DiscoStates.COORD_CONTROL
1745945015.3539555,39.0187817,-104.8939695,2171.09,11.01,179.67,DiscoStates.COORD_CONTROL
1745945016.3747907,39.0187817,-104.8939695,2171.09,11.01,179.67,DiscoStates.COORD_CONTROL
1745945017.4161067,39.0187817,-104.8939695,2171.09,11.01,179.67,DiscoStates.COORD_CONTROL
