Time,Latitude,Longitude,Altitude,Relative Altitude,Heading
1732131686.7373395,39.0187377,-104.8936726,2165.11,0.637,203.69
1732131686.757827,39.0187377,-104.8936726,2165.11,0.637,203.69
1732131686.8087132,39.0187375,-104.8936726,2165.1,0.622,203.66
1732131686.8393662,39.0187375,-104.8936725,2165.1,0.623,203.64
1732131686.8599334,39.0187375,-104.8936725,2165.1,0.623,203.64
1732131686.9110734,39.0187378,-104.8936725,2165.09,0.617,203.62
1732131686.9417486,39.018738,-104.8936723,2165.14,0.661,203.59
1732131686.9623332,39.018738,-104.8936723,2165.14,0.661,203.59
1732131687.023442,39.0187379,-104.8936722,2165.13,0.649,203.59
1732131687.0439193,39.0187379,-104.8936722,2165.13,0.649,203.59
1732131687.0643933,39.018738,-104.8936719,2165.14,0.661,203.59
1732131687.0848665,39.018738,-104.8936719,2165.14,0.661,203.59
1732131687.1459787,39.0187379,-104.8936717,2165.15,0.669,203.6
1732131687.1664598,39.0187379,-104.8936717,2165.15,0.669,203.6
1732131687.1869166,39.018738,-104.8936718,2165.13,0.651,203.62
1732131687.2074168,39.018738,-104.8936718,2165.13,0.651,203.62
1732131687.2685134,39.018738,-104.8936718,2165.12,0.642,203.64
1732131687.288988,39.018738,-104.8936718,2165.12,0.642,203.64
1732131687.3094974,39.0187381,-104.8936719,2165.12,0.647,203.64
1732131687.3300397,39.0187381,-104.8936719,2165.12,0.647,203.64
1732131687.391091,39.0187383,-104.893672,2165.13,0.65,203.63
1732131687.4115834,39.0187383,-104.893672,2165.13,0.65,203.63
1732131687.4320605,39.0187386,-104.8936722,2165.1,0.624,203.61
1732131687.4525428,39.0187386,-104.8936722,2165.1,0.624,203.61
1732131687.5135984,39.0187388,-104.8936727,2165.08,-0.009,203.61
1732131687.534108,39.0187388,-104.8936727,2165.08,-0.009,203.61
1732131687.554612,39.0187389,-104.8936728,2165.03,-0.052,203.6
1732131687.5751493,39.0187389,-104.8936728,2165.03,-0.052,203.6
1732131687.636232,39.018739,-104.8936729,2164.99,-0.091,203.61
