BREAK,2025-04-09 07:25:06.392283,,,,
Time,Latitude,Longitude,Altitude,Relative Altitude,Heading
BREAK,2025-04-09 07:25:36.607400,,,,
BREAK,2025-04-09 07:25:47.900664,,,,
1744205200.2832272,39.0173063,-104.8924713,2171.07,10.99,85.87
1744205200.3539243,39.0173063,-104.8924713,2171.07,10.99,85.87
1744205201.270176,39.0173063,-104.8924712,2171.07,10.99,95.85
1744205201.363023,39.0173063,-104.8924712,2171.07,10.99,95.85
1744205202.2712798,39.0173063,-104.8924712,2171.07,10.99,105.88
1744205202.3732917,39.0173063,-104.8924712,2171.07,10.99,105.88
1744205203.2740011,39.0173063,-104.8924711,2171.07,10.99,115.87
1744205203.38403,39.0173063,-104.8924711,2171.07,10.99,115.87
1744205204.2811086,39.0173063,-104.8924711,2171.06,10.988,125.88
1744205204.3917434,39.0173063,-104.8924711,2171.06,10.988,125.88
1744205205.2871835,39.0173062,-104.892471,2171.06,10.989,135.87
1744205205.3928685,39.0173062,-104.892471,2171.06,10.989,135.87
1744205206.3034024,39.0173062,-104.892471,2171.07,10.99,145.9
1744205206.408212,39.0173062,-104.892471,2171.07,10.99,145.9
1744205207.2982078,39.0173062,-104.892471,2171.07,10.99,155.89
1744205207.411101,39.0173062,-104.892471,2171.07,10.99,155.89
1744205208.302592,39.0173062,-104.892471,2171.07,10.99,165.9
1744205208.43666,39.0173062,-104.892471,2171.07,10.99,165.9
1744205209.3070219,39.0173062,-104.892471,2171.07,10.99,175.89
1744205209.4477403,39.0173062,-104.892471,2171.07,10.99,175.89
1744205210.3121426,39.0173061,-104.892471,2171.06,10.988,185.92
1744205210.466083,39.0173061,-104.892471,2171.06,10.988,185.92
1744205211.3149574,39.0173061,-104.892471,2171.06,10.989,195.92
1744205211.476312,39.0173061,-104.892471,2171.06,10.989,195.92
1744205212.3167286,39.0173061,-104.892471,2171.07,10.99,205.92
1744205212.504802,39.0173061,-104.892471,2171.07,10.99,205.92
1744205213.3172266,39.017306,-104.892471,2171.07,10.99,215.92
1744205213.5085802,39.017306,-104.892471,2171.07,10.99,215.92
1744205214.3209329,39.017306,-104.892471,2171.07,10.99,225.93
